photons,SDNR_40um,SDNR_50um,SDNR_60um,SDNR_70um,SDNR_80um,SDNR_90um,SDNR_100um,SDNR_110um,SDNR_120um,SDNR_130um,SDNR_140um,SDNR_150um,SDNR_160um,SDNR_170um,SDNR_180um,SDNR_190um,SDNR_200um
100,6.874896371190548,6.190985821328262,5.909388842427043,3.941438248322933,3.804919269766237,3.874423890311955,3.72315104809126,4.016589581316321,3.856464049168708,3.783030849878472,3.117732533541191,2.865413639050096,3.330388341412432,2.829349578950018,2.5114463416681745,2.65741007507691,2.648384420067228
134,7.273311565998885,6.421920756537417,5.52842402274978,4.569295140046088,4.44928134677491,4.329955914609791,4.254767712696811,3.9466555235669216,3.584437360203497,4.049368941242142,3.201575531057186,3.070094099042106,2.751108199146383,3.136709828816836,2.3646792719328324,2.45134999607906,2.7242594661249924
180,6.155170048018375,5.372810732980797,4.96899212780129,5.469676324429416,4.530939735618551,3.9145622279007206,3.8009111319983298,3.4239191754416054,3.93382856791506,3.7620889016796095,3.3757038468489275,2.892366081816091,2.314586781139768,2.7592288823575366,2.64217023785514,2.870573287311638,2.502042370487186
242,6.575361087632184,5.116509983496782,4.978600587289344,5.52663501072254,3.6836776515398575,4.56719235967597,4.143384150046163,3.519009864501757,3.1391884384733064,3.089724429246076,2.99539123759851,3.128025273408756,3.186369265290355,3.1728965326409737,2.476874298776607,2.954767830929645,2.778523810390532
325,6.678825489432879,5.880151353090136,4.484135512690639,4.668890071012722,4.407901940246842,3.997199536830805,3.4001052326730017,3.974741665413496,3.398719618146904,3.3428267365454376,3.273936860790473,3.0053547510177183,2.7161613174518995,2.724742064042124,2.720937874347554,2.9264215096738555,2.8464796952994447
437,7.365996785213737,5.511379772907231,5.685591829269404,4.815763034033616,5.023178433873215,4.64370931689697,4.276079768581525,3.827732307696352,4.158789695149112,3.593930298480708,3.5544640915336747,3.1811812819563143,3.104079421807897,2.9341113499612463,2.619927669060482,2.711151566724879,2.4902496603577946
587,8.083600811388328,5.264448433411027,4.494341403297906,4.804633678346232,4.776888559699542,4.227873793509667,3.622192506041043,4.411339456850818,3.5429248505188404,3.22531742407649,2.963312559120537,3.283136099517054,3.082981758337312,2.239396017157336,3.1255889739451903,2.859810657647313,2.3254266560208174
789,6.863175381768001,5.280158170306504,5.417611242734783,5.068138833124104,5.097021364963156,4.327895917577997,3.748602792139351,3.647685134677342,4.188794571337748,3.4115839851612706,2.8409600392239343,3.443266406591255,3.629856639797112,2.751027795925844,3.189181563525312,2.87194207004034,2.835713949176884
1060,5.899121469760204,5.54432162849352,4.017964335942203,4.7648845721034325,3.4722980672247865,3.916468498978056,3.9419636909514497,4.00603376375246,3.61623128632232,3.4616770128189653,3.501447170122084,3.0854709806521914,3.158645545403278,2.64887439117123,2.380955474971755,2.846222125019587,2.670291103436242
1425,6.642606028624496,6.48070913369574,5.442964640672768,4.814269464549116,4.824096204271658,4.847271818072786,3.95092047899636,3.758178172932261,4.011044405458024,3.2934358469123617,4.026909957527534,3.7774155598099775,3.1985159654759854,2.829934201264852,3.2760569695491584,3.1988374192424875,2.9515650894817522
1914,7.87527800418271,5.997945846230043,6.403783873828603,4.436410059588261,4.494277839458549,4.378424075382852,4.077695281513535,4.085296134816508,4.121730786256595,4.4947188639115945,3.906147771040061,3.507012616408004,3.775585168638598,2.9977534258801724,3.1949205310357045,2.7546491049547086,3.451122140631524
2571,8.088323381488223,6.014219168716323,5.334221957846492,5.158115080817375,4.1842300760292,4.528192513623655,4.040910861220102,4.803500498404872,3.904544716512991,4.286923892505473,4.086619366065048,4.102748905537571,3.4384073567766187,3.50382495973747,3.425503725510262,3.386317472641545,3.337397306461249
3455,6.942863581810576,6.330499170111706,6.64553233635884,6.19373547743786,4.248788819615744,4.158829160708134,4.375507090998191,4.2836505551137005,3.910831821887079,4.367858415150647,4.645214313167884,4.11541973714777,3.7611129722194736,4.121797545184523,4.210869745392048,4.044522053508816,3.6659568002324323
4641,7.181753893583488,4.934871126188332,5.722180989000709,6.525197991706574,4.795599041295009,4.268629028919397,4.279236441412579,4.49140405628294,4.189589104408085,4.705609413523298,4.539446743568845,4.372435078340584,3.872321872039776,3.794896914376556,3.765155873294764,3.862408147152257,3.915261301266222
6235,6.575283452094245,5.804855704410434,5.761552796660016,4.918363021638347,4.6840182165248665,4.911446449268485,4.729261949594798,4.297518239049692,4.498145848175291,4.838144543536191,5.19932929208625,5.206448082040527,4.427261912809815,4.24372941436131,4.892198173517639,4.855589357104211,4.603450414501679
8376,7.634932127485902,6.163153144176258,5.7500374810144,4.989764844610615,4.91997765909688,4.616945119510653,5.332391182078148,6.017042143129379,4.654259323980694,5.287039124181966,5.776972730820205,5.473062341661676,4.960749260425194,4.543865695789481,5.627489196742395,5.233001757601639,5.239272808502376
11253,7.588859149637269,5.35209795598517,6.121913343220967,5.8007035462273215,5.117668143155019,5.551095171120595,4.937333016490483,5.455518655659891,5.387516381150532,5.816011202645764,5.9183329829716165,5.369229264560448,6.632814871335516,5.511372166710063,5.621430532208908,5.434613845809412,5.879108664267412
